"","AAPL","TSLA","SPY"
"2023-05-31",175.723068237305,203.929992675781,407.932525634766
"2023-06-01",178.53857421875,207.520004272461,411.808288574219
"2023-06-02",179.391174316406,213.970001220703,417.763519287109
"2023-06-05",178.032989501953,217.610000610352,416.962982177734
"2023-06-06",177.666168212891,221.309997558594,417.870910644531
"2023-06-07",176.288146972656,224.570007324219,416.425994873047
"2023-06-08",179.014450073242,234.860000610352,418.944763183594
"2023-06-09",179.401077270508,244.399993896484,419.696502685547
"2023-06-12",182.206695556641,249.830001831055,423.503936767578
"2023-06-13",181.730834960938,258.709991455078,426.296081542969
"2023-06-14",182.365341186523,256.790008544922,426.8037109375
"2023-06-15",184.407562255859,255.899993896484,432.095092773438
"2023-06-16",183.32698059082,260.540008544922,430.623291015625
"2023-06-20",183.416198730469,274.450012207031,428.389129638672
"2023-06-21",182.375244140625,259.459991455078,426.194152832031
"2023-06-22",185.389053344727,264.609985351562,427.732635498047
"2023-06-23",185.071792602539,256.600006103516,424.498962402344
"2023-06-26",183.673965454102,241.050003051758,422.764556884766
"2023-06-27",186.439926147461,250.210006713867,427.3994140625
"2023-06-28",187.619659423828,256.239990234375,427.615020751953
"2023-06-29",187.956726074219,257.5,429.300415039062
"2023-06-30",192.299026489258,261.769989013672,434.366455078125
"2023-07-03",190.802032470703,279.820007324219,434.866180419922
"2023-07-05",189.681747436523,282.480010986328,434.219451904297
"2023-07-06",190.157623291016,276.540008544922,430.819213867188
"2023-07-07",189.037338256836,274.429992675781,429.731536865234
"2023-07-10",186.985198974609,269.609985351562,430.819213867188
"2023-07-11",186.459762573242,269.790008544922,433.562896728516
"2023-07-12",188.135177612305,271.989990234375,437.051361083984
"2023-07-13",188.898544311523,277.899993896484,440.520172119141
"2023-07-14",189.047271728516,281.380004882812,440.245819091797
"2023-07-17",192.31884765625,290.380004882812,441.774444580078
"2023-07-18",192.061080932617,293.339996337891,445.057098388672
"2023-07-19",193.41926574707,291.260009765625,446.046783447266
"2023-07-20",191.466262817383,262.899993896484,443.087432861328
"2023-07-21",190.286514282227,260.019989013672,443.087432861328
"2023-07-24",191.08952331543,269.059997558594,445.066864013672
"2023-07-25",191.952026367188,265.279998779297,446.281951904297
"2023-07-26",192.824447631836,264.350006103516,446.350555419922
"2023-07-27",191.555465698242,255.710006713867,443.391235351562
"2023-07-28",194.142990112305,266.440002441406,447.732177734375
"2023-07-31",194.757659912109,267.429992675781,448.584686279297
"2023-08-01",193.924865722656,261.070007324219,447.301055908203
"2023-08-02",190.920989990234,254.110000610352,441.078735351562
"2023-08-03",189.523132324219,259.320007324219,439.814636230469
"2023-08-04",180.422225952148,253.860000610352,437.825500488281
"2023-08-07",177.309265136719,251.449996948242,441.647064208984
"2023-08-08",178.251083374023,249.699996948242,439.726470947266
"2023-08-09",176.654968261719,242.190002441406,436.786804199219
